Name,Min Size,Size In KB
User_TLB_DDR_6_3,0x81fa,0x40
User_TLB_DDR_6_4,0xadb7,0x40
User_TLB_DDR_6_0,0xba01,0x40
User_TLB_DDR_6_2,0xd4ff,0x40
User_TLB_DDR_5_1,0x1f428,0x100
User_TLB_DDR_5_4,0x2dedd,0x100
User_TLB_DDR_5_3,0x34d72,0x100
User_TLB_DDR_5_2,0x3d7a2,0x100
User_TLB_DDR_4_2,0x163dc3,0x1000
User_TLB_DDR_4_3,0x2e8091,0x1000
User_TLB_DDR_4_1,0x2f504d,0x1000
User_TLB_DDR_4_0,0x36f62a,0x1000
User_TLB_DDR_3_1,0x5f100c,0x4000
User_TLB_DDR_3_0,0x75e8cc,0x4000
User_TLB_DDR_3_2,0x8f065a,0x4000
User_TLB_DDR_3_3,0xa37cc1,0x4000
User_TLB_DDR_2_4,0x1e2e5a5,0x10000
User_TLB_DDR_2_3,0x2134185,0x10000
User_TLB_DDR_2_2,0x226fab0,0x10000
User_TLB_DDR_2_0,0x3aba293,0x10000
User_TLB_DDR_1_8,0x61d5ca2,0x40000
User_TLB_DDR_1_3,0xa8c9d72,0x40000
User_TLB_DDR_1_6,0xb94e499,0x40000
User_TLB_DDR_1_4,0xe180720,0x40000
